source,target,type
来料接收,化工原料/外协件进料
来料接收,模具接收
模具接收,工装模具开发,suit
来料接收,来料检验,suit
客户订单,化工原料/外协件进料,suit
化工原料/外协件进料,MBOM
化工原料/外协件进料,PFEP报表
化工原料/外协件进料,物料需求计划
化工原料/外协件进料,周排班计划
来料检验,化工原料外协件进货检验
来料检验,模具验收
来料检验,来料存储,suit
化工原料外协件进货检验,进料验证清单
化工原料外协件进货检验,化工料进料验证清单
化工原料外协件进货检验,进货检验记录表
化工原料外协件进货检验,不合格品记录表
化工原料外协件进货检验,8D问题分析报告
化工原料外协件进货检验,问题清单
模具验收,试制记录
模具验收,模具履历表
来料存储,化工原料外协件存储
来料存储,模具存储
来料存储,化工料配置,suit
化工原料外协件存储,化工料库存记录
化工原料外协件存储,库存转储
化工原料外协件存储,化工料批次使用记录
化工原料外协件存储,物料库位编码规范
化工原料外协件存储,发泡车间化工料使用有效期汇总表
模具存储,模具清单
模具存储,固定资产清单
模具存储,模具履历表
化工料配置,配料信息反冲报工
化工料配置,化工料抽料,suit
配料信息反冲报工,配料记录
配料信息反冲报工,自动配制记录
配料信息反冲报工,配料关键参数检查记录
配料信息反冲报工,配制记录
配料信息反冲报工,配料关键参数检查记录
配料信息反冲报工,预防性维护点检表
配料信息反冲报工,化工原料批次使用记录表
化工料抽料,日料罐储存,suit
化工料抽料,料罐站切换检查表
化工料抽料,ISO移动罐收货抽料检查表
日料罐储存,化工原料批次使用记录表
日料罐储存,生产准备,suit
生产准备,模具准备
生产准备,外协件准备
生产准备,生产工具准备
生产准备,工艺准备
生产准备,人员准备
生产准备,清模,suit
模具准备,换模计划
模具准备,换模流转卡
模具准备,xx产量单
模具准备,模具点检卡
模具准备,线上模具排列表
模具准备,模具清单
模具准备,模具履历表
模具准备,模具更改通知单
模具准备,资产送修单
模具准备,4M1E履历表
外协件准备,委外出库指令
外协件准备,出库记录
外协件准备,批次跟踪表
外协件准备,拣配任务
外协件准备,退料记录
外协件准备,线边库位分布图
生产工具准备,设备巡检
生产工具准备,工具领用记录表
生产工具准备,废旧手套收集数据表
生产工具准备,XX生产线劳防用品发放明细记录
生产工具准备,固定资产清单
生产工具准备,预防性维护点检表
生产工具准备,停机记录表
生产工具准备,问题清单
生产工具准备,设备维修报告
工艺准备,化工料批次使用记录
工艺准备,开机检查表
工艺准备,预防性维护点检表(模温机补水箱）
工艺准备,常规参数检查表
工艺准备,交接班记录
工艺准备,生产日报
工艺准备,关机检查记录表
工艺准备,工艺交接班记录表
工艺准备,质量交接班记录
人员准备,工作岗位安排记录
人员准备,人员预测表
人员准备,员工培训记录
清模,喷脱模剂,suit
喷脱模剂,脱模剂用量记录
喷脱模剂,外协件放置,suit
外协件放置,浇注,suit
浇注,现场工艺控制
浇注,熟化,suit
现场工艺控制,操作报废记录
现场工艺控制,模架放空记录
现场工艺控制,现场参数更改记录
现场工艺控制,流量参数卡
现场工艺控制,PDE参数卡
现场工艺控制,工艺参数卡
现场工艺控制,工艺参数巡检记录表
现场工艺控制,常规参数检查表
现场工艺控制,试制记录
熟化,起模,suit
起模,开孔,suit
开孔,首检,suit
首检,后道处理,suit
首检,RTY
首检,产品重量检查记录表
首检,电子称校对记录表
首检,发泡试制跟踪表
后道处理,胶水用量记录
后道处理,消音腊用量记录
后道处理,过程检查,suit
过程检查,过程检查记录表,suit
过程检查,过程问题收集,suit
过程问题收集,终检记录返工返修,suit
过程检查,不合格品记录表,suit
过程检查,分层审核表,suit
过程检查,晨会问题清单,suit
过程检查,上悬挂链料架车摆放,suit
上悬挂链料架车摆放,后熟化,suit
后熟化,终检,suit
终检记录返工返修,返工记录,suit
终检记录返工返修,返工记录
终检记录返工返修,生产完工记录
终检记录返工返修,生产报废记录
终检记录返工返修,问题清单
终检记录返工返修,质量警告
终检记录返工返修,8D问题分析报告
终检记录返工返修,客户抱怨记录（问题清单）
终检记录返工返修,PFMEA-CP评审工作表
终检记录返工返修,不合格品遏制清单
终检记录返工返修,遏制成本
终检记录返工返修,全检记录表
终检记录返工返修,拆解报废单
终检记录返工返修,不合格品记录表
终检,终检记录返工返修
终检记录返工返修,工厂报表,suit
工厂报表,SPPM
终检,产品特性检查,suit
产品特性检查,检测报告
产品特性检查,测试委托单
产品特性检查,泡沫尺寸检验记录
产品特性检查,DVP
产品特性检查,成品包装,suit
成品包装,包装ODS
成品包装,成品包装协议
成品包装,成品审核,suit
成品包装,成品审核工作表
成品包装,产品审核
产品审核,年度产品审核及型式实验计划
成品审核,成品储存,suit
成品储存,料架车保养检查清单
成品储存,料架车每周点检记录
成品储存,周转容器跟踪记录表
成品储存,现场布局图
成品储存,库区分布图
成品储存,库位分布图
成品储存,发运,suit
发运,特定出货产品追溯记录表
发运,发运计划
发运,提货单
发运,配送记录
发运,批次跟踪
发运,发运记录
发运,发运跟踪记录
发运,超额运费记录表
发运,检查报告书
客户需求,客户中长期需求预测
客户需求,客户订单
客户中长期需求预测,预测客户中长期零件需求
预测客户中长期零件需求,客户中长期零件需求预测
预测客户中长期零件需求,客户日需求计划
客户订单,客户交样需求
物料仓储,物料及仓储策划
物料仓储,物料需求计划
物料仓储,收货入库
物料仓储,库内操作
物料仓储,盘点
物料仓储,委外出库
物料仓储,出库上线
物料及仓储策划,搭建制造物料数据
物料及仓储策划,编制零件条码
物料及仓储策划,划分库区库位
物料及仓储策划,物料包装管理
物料及仓储策划,设置道口窗口时间
物料及仓储策划,物料拉动设置
物料及仓储策划,安全库存设置
物料及仓储策划,物流模式管理
物料及仓储策划,包装容器管理
搭建制造物料数据,MBOM
搭建制造物料数据,PFEP报表
MBOM,成品包装协议
PFEP报表,MBOM
编制零件条码,零件条码信息
零件条码信息,物料需求计划
零件条码信息,生产完工记录
划分库区库位,现场布局图
划分库区库位,库区分布图
划分库区库位,库位分布图
划分库区库位,线边库位分布图
库区分布图,中长期产能计划
库区分布图,PFEP报表
库区分布图,现场布局图
库位分布图,库区分布图
库位分布图,PFEP报表
线边库位分布图,库区分布图
线边库位分布图,PFEP报表
物料包装管理,包装ODS
物料包装管理,原材料包装协议
物料包装管理,成品包装协议
成品包装协议,包装ODS
设置道口窗口时间,道口窗口时间跟踪表
道口窗口时间跟踪表,要货日计划
物料拉动设置,零件拉动信息表
零件拉动信息表,日生产计划
零件拉动信息表,生产完工记录
零件拉动信息表,零件库存跟踪
零件拉动信息表,库位分布图
零件拉动信息表,线边库位分布图
安全库存设置,零件库存跟踪
零件库存跟踪,物流协议
零件库存跟踪,PFEP报表
物流模式管理,物流协议
物流协议,中长期产能计划
包装容器管理,料架车保养检查清单
包装容器管理,料架车每周点检记录
包装容器管理,周转容器跟踪记录表
料架车每周点检记录,日生产计划
周转容器跟踪记录表,日生产计划
物料需求计划,物料滚动中长期预测
物料滚动中长期预测,物料中长期预测计划
物料中长期预测计划,客户中长期零件需求预测
物料中长期预测计划,生产完工记录
物料中长期预测计划,MBOM
物料需求计划,物料需求计划
物料需求计划,客户日需求计划
物料需求计划,生产完工记录
物料需求计划,MBOM
物料需求计划,客户交样需求
要货日计划,物料要货计划
要货日计划,ASN
物料要货计划,日生产计划
物料要货计划,MBOM
ASN,物料要货计划
ASN,客户交样需求
委外要货计划,物料要货计划
委外要货计划,原材料委外清单
物料要货计划,日生产计划
物料要货计划,MBOM
物料要货计划,客户交样需求
原材料委外清单,MBOM
收货入库,供应商采购收货（非化工料）
收货入库,供应商采购收货（化工料）
收货入库,委外收货
收货入库,委外直送
收货入库,入库上架
收货入库,来料拒收
供应商采购收货（非化工料）,收货记录
供应商采购收货（非化工料）,待质检任务
供应商采购收货（非化工料）,供应商发运批次记录表
供应商采购收货（非化工料）,物料收货抽查记录表.
供应商采购收货（非化工料）,批次跟踪表
收货记录,物料要货计划
收货记录,ASN
待质检任务,收货记录
待质检任务,零件条码信息
待质检任务,进料验证清单
供应商发运批次记录表,物料要货计划
物料收货抽查记录表.,收货记录
批次跟踪表,收货记录
批次跟踪表,AMP
供应商采购收货（化工料）,收货记录
供应商采购收货（化工料）,待质检任务
收货记录,物料要货计划
收货记录,ASN
待质检任务,收货记录
待质检任务,零件条码信息
待质检任务,进料验证清单
收货记录,委外要货计划
收货记录,零件条码信息
委外直送,收货记录
委外收货,收货记录
收货记录,要货日计划
入库上架,上架记录
入库上架,拆解报废回用单
入库上架,批次跟踪表
上架记录,零件条码信息
上架记录,库位分布图
上架记录,进货检验记录表
拆解报废回用单,拆解报废单
批次跟踪表,收货记录
来料拒收,DMR单
来料拒收,DMR线下跟踪表
DMR单,ASN
DMR单,原材料包装协议
DMR单,DMR线下跟踪表
DMR线下跟踪表,要货日计划
库内操作,化工料存储
库内操作,料罐站切换
库内操作,库内转移（非化工料）
库内操作,成品定置定位和标识
化工料存储,化工料库存记录
料罐站切换,料罐站切换检查表
料罐站切换,化工料批次使用记录
化工料批次使用记录,物料需求计划
库内转移（非化工料）,库存转储
库内转移（非化工料）,调拨送货单
库内转移（非化工料）,出库记录
库内转移（非化工料）,入库记录
库内转移（非化工料）,移库记录
库存转储,零件条码信息
库存转储,库位分布图
调拨送货单,物料需求计划
出库记录,零件条码信息
